ano,uf,cod_municipio,nome_municipio,receita_contribuicao,comp_vaaf,comp_vaat,comp_vaar,comp_uniao_total,total_receitas,populacao,ideb_anos_iniciais_2023,ideb_anos_finais_2023,mat_municipal_total,mat_estadual_total,mat_publica_total,total_receitas_per_capita,fundeb_per_aluno_municipal,fundeb_per_aluno_publica
2026,AC,1200013,Acrelandia,18502193.4,0.0,2414802.26,0.0,2414802.26,20916995.66,15721.0,5.2,4.6,2092.0,1911.0,4003.0,1330.51,9998.56,5225.33
2026,AC,1200054,Assis Brasil,12713692.99,0.0,1893458.75,995669.36,2889128.11,15602821.1,7649.0,4.5,3.3,1361.0,2249.0,3610.0,2039.85,11464.23,4322.11
2026,AC,1200104,Brasileia,32382755.84,0.0,8067731.51,0.0,8067731.51,40450487.35,27123.0,6.2,5.3,3284.0,3400.0,6684.0,1491.37,12317.44,6051.84
2026,AC,1200138,Bujari,17771469.18,0.0,7059361.5,0.0,7059361.5,24830830.68,10572.0,4.1,3.7,1623.0,2338.0,3961.0,2348.74,15299.34,6268.83
2026,AC,1200179,Capixaba,17981062.37,0.0,2207975.63,0.0,2207975.63,20189038.0,12280.0,4.5,4.0,2085.0,1172.0,3257.0,1644.06,9682.99,6198.66
2026,AC,1200203,Cruzeiro Do Sul,122531753.97,0.0,36784673.02,0.0,36784673.02,159316426.99,89760.0,5.7,4.8,11561.0,17786.0,29805.0,1774.92,13780.51,5345.29
2026,AC,1200252,Epitaciolandia,26977670.56,0.0,8810533.77,995104.57,9805638.34,36783308.9,18979.0,6.2,5.2,2541.0,2116.0,4657.0,1938.11,14475.92,7898.5
2026,AC,1200302,Feijo,49002278.47,0.0,23532821.64,0.0,23532821.64,72535100.11,34986.0,5.5,4.6,4087.0,8202.0,12289.0,2073.26,17747.76,5902.44
2026,AC,1200328,Jordao,28896053.73,0.0,4657658.54,1788853.27,6446511.81,35342565.54,8628.0,5.0,4.7,2991.0,1159.0,4150.0,4096.26,11816.3,8516.28
2026,AC,1200336,Mancio Lima,30449519.36,0.0,8070728.8,0.0,8070728.8,38520248.16,19643.0,4.8,4.3,3148.0,3402.0,6550.0,1961.02,12236.42,5880.95
2026,AC,1200344,Manoel Urbano,23046317.53,0.0,5938561.09,0.0,5938561.09,28984878.62,9701.0,5.1,4.5,2366.0,1233.0,3599.0,2987.82,12250.58,8053.59
2026,AC,1200351,Marechal Thaumaturgo,45846747.83,0.0,5411238.45,0.0,5411238.45,51257986.28,19727.0,4.1,3.5,5055.0,1400.0,6455.0,2598.37,10140.06,7940.82
2026,AC,1200385,Placido De Castro,19970870.22,0.0,3049419.97,0.0,3049419.97,23020290.19,20147.0,5.3,4.5,2104.0,2444.0,4548.0,1142.62,10941.2,5061.63
2026,AC,1200807,Porto Acre,27507114.93,0.0,12322202.99,0.0,12322202.99,39829317.92,19141.0,4.2,3.7,2437.0,3096.0,5533.0,2080.84,16343.59,7198.5
2026,AC,1200393,Porto Walter,25182111.36,0.0,0.0,0.0,0.0,25182111.36,12497.0,4.6,3.5,3530.0,1375.0,4905.0,2015.05,7133.74,5133.97
2026,AC,1200401,Rio Branco,212101076.55,0.0,0.0,0.0,0.0,212101076.55,419452.0,6.2,4.9,22350.0,62876.0,86954.0,505.66,9489.98,2439.23
2026,AC,1200427,Rodrigues Alves,34507156.27,0.0,0.0,2448082.72,2448082.72,36955238.99,19767.0,5.4,4.1,4566.0,2789.0,7355.0,1869.54,8093.57,5024.51
2026,AC,1200435,Santa Rosa Do Purus,19364635.09,0.0,1611612.57,1258377.9,2869990.47,22234625.56,6893.0,3.3,3.4,2229.0,705.0,2934.0,3225.68,9975.16,7578.26
2026,AC,1200500,Sena Madureira,51037726.64,0.0,8298509.53,0.0,8298509.53,59336236.17,47168.0,5.6,4.6,5549.0,5391.0,11248.0,1257.98,10693.14,5275.27
2026,AC,1200450,Senador Guiomard,21604058.01,0.0,5055441.91,0.0,5055441.91,26659499.92,23446.0,6.2,5.1,2188.0,4014.0,6202.0,1137.06,12184.41,4298.53
2026,AC,1200609,Tarauaca,71112823.44,0.0,20340321.77,2618238.54,22958560.31,94071383.75,43730.0,5.3,4.4,7502.0,8150.0,16084.0,2151.19,12539.51,5848.76
2026,AC,1200708,Xapuri,17445707.65,0.0,6206467.69,1363301.97,7569769.66,25015477.31,19866.0,6.1,4.7,1481.0,2496.0,4287.0,1259.21,16890.94,5835.19
2026,AC,0000012,Governo Do Estado,1495329066.37,0.0,0.0,0.0,0.0,1495329066.37,,,,,,,,,
2026,AL,2700102,Agua Branca,35539169.52,8008491.09,18418226.14,3431552.81,29858270.04,65397439.56,20263.0,5.6,4.4,5267.0,1038.0,6305.0,3227.43,12416.45,10372.31
2026,AL,2700201,Anadia,23003420.17,5183651.95,15599373.79,0.0,20783025.74,43786445.91,17507.0,6.3,5.5,3025.0,681.0,3706.0,2501.08,14474.86,11815.02
2026,AL,2700300,Arapiraca,215033636.81,48456252.29,122655599.21,0.0,171111851.5,386145488.31,234309.0,5.5,4.9,30256.0,12157.0,43082.0,1648.02,12762.61,8963.04
2026,AL,2700409,Atalaia,59066720.97,13310252.18,29148966.69,5771187.52,48230406.39,107297127.36,47540.0,5.4,4.6,9219.0,1619.0,10838.0,2256.99,11638.69,9900.09
2026,AL,2700508,Barra De Santo Antonio,24167147.14,5445889.29,11230179.03,1006333.01,17682401.33,41849548.47,16201.0,4.6,4.1,3382.0,795.0,4177.0,2583.15,12374.2,10019.04
2026,AL,2700607,Barra De Sao Miguel,14258572.08,3213064.6,2323346.97,1396654.07,6933065.64,21191637.72,8434.0,5.5,3.3,1902.0,358.0,2260.0,2512.64,11141.77,9376.83
2026,AL,2700706,Batalha,23317383.01,5254401.17,1635394.71,0.0,6889795.88,30207178.89,18440.0,6.1,4.9,4916.0,804.0,6035.0,1638.13,6144.67,5005.33
