ano,cod_ibge_estado,uf,nome_estado,regiao,receita_contribuicao,comp_vaaf,comp_vaat,comp_vaar,comp_uniao_total,total_receitas
2026,12,AC,Acre,Norte,1495329066.37,0.0,0.0,0.0,0.0,1495329066.37
2026,27,AL,Alagoas,Nordeste,1370343417.98,308796834.61,0.0,59427771.35,368224605.96,1738568023.94
2026,13,AM,Amazonas,Norte,2442443569.64,641686565.04,0.0,244191352.55,885877917.59,3328321487.23
2026,16,AP,Amapá,Norte,1212510424.99,0.0,0.0,0.0,0.0,1212510424.99
2026,29,BA,Bahia,Nordeste,4625640844.61,1614721665.88,0.0,0.0,1614721665.88,6240362510.49
2026,23,CE,Ceará,Nordeste,2681181206.96,1421100900.9,0.0,0.0,1421100900.9,4102282107.86
2026,53,DF,Distrito Federal,Centro-Oeste,3533298761.67,0.0,0.0,0.0,0.0,3533298761.67
2026,32,ES,Espírito Santo,Sudeste,2117907082.75,0.0,0.0,0.0,0.0,2117907082.75
2026,52,GO,Goiás,Centro-Oeste,4658022277.78,0.0,0.0,355957123.02,355957123.02,5013979400.8
2026,21,MA,Maranhão,Nordeste,2000708761.61,1406107637.94,401682693.99,232492505.42,2040282837.35,4040991598.96
2026,31,MG,Minas Gerais,Sudeste,13193872496.36,0.0,0.0,0.0,0.0,13193872496.36
2026,50,MS,Mato Grosso do Sul,Centro-Oeste,2162837393.7,0.0,0.0,0.0,0.0,2162837393.7
2026,51,MT,Mato Grosso,Centro-Oeste,3336491538.15,0.0,0.0,0.0,0.0,3336491538.15
2026,15,PA,Pará,Norte,2734807279.94,1395652774.44,0.0,147456256.66,1543109031.1,4277916311.04
2026,25,PB,Paraíba,Nordeste,1784169701.78,113288633.11,0.0,0.0,113288633.11,1897458334.89
2026,26,PE,Pernambuco,Nordeste,4046387084.0,514646962.02,0.0,335812234.13,850459196.15,4896846280.15
2026,22,PI,Piauí,Nordeste,1796797073.56,763922356.76,758835285.05,87110191.74,1609867833.55,3406664907.11
2026,41,PR,Paraná,Sul,8226837333.08,0.0,0.0,620676359.22,620676359.22,8847513692.3
2026,33,RJ,Rio de Janeiro,Sudeste,4440522828.2,18012601.13,0.0,0.0,18012601.13,4458535429.33
2026,24,RN,Rio Grande do Norte,Nordeste,1777143424.93,0.0,0.0,0.0,0.0,1777143424.93
2026,11,RO,Rondônia,Norte,1804586618.88,0.0,0.0,0.0,0.0,1804586618.88
2026,14,RR,Roraima,Norte,1007363953.48,0.0,0.0,0.0,0.0,1007363953.48
2026,43,RS,Rio Grande do Sul,Sul,6394808320.76,0.0,0.0,0.0,0.0,6394808320.76
2026,42,SC,Santa Catarina,Sul,4925590029.2,0.0,0.0,0.0,0.0,4925590029.2
2026,28,SE,Sergipe,Nordeste,1369304857.29,0.0,0.0,92984942.66,92984942.66,1462289799.95
2026,35,SP,São Paulo,Sudeste,30674592447.22,0.0,0.0,0.0,0.0,30674592447.22
2026,17,TO,Tocantins,Norte,1533933457.31,0.0,0.0,0.0,0.0,1533933457.31
