ano_censo,cod_municipio,uf,nome_municipio,mat_federal_total,mat_estadual_total,mat_municipal_total,mat_privada_total,mat_publica_total,mat_total
2023,1100015,Rondônia,Alta Floresta D'Oeste,0,2337,2648,0,4985,4985
2023,1100379,Rondônia,Alto Alegre Dos Parecis,0,668,1899,0,2567,2567
2023,1100403,Rondônia,Alto Paraíso,0,1227,1483,453,2710,3163
2023,1100346,Rondônia,Alvorada D'Oeste,0,1563,1287,0,2850,2850
2023,1100023,Rondônia,Ariquemes,538,8783,10181,3390,19502,22892
2023,1100452,Rondônia,Buritis,0,3645,2951,322,6596,6918
2023,1100031,Rondônia,Cabixi,0,642,599,0,1241,1241
2023,1100601,Rondônia,Cacaulândia,0,459,569,0,1028,1028
2023,1100049,Rondônia,Cacoal,561,8547,6518,4861,15626,20487
2023,1100700,Rondônia,Campo Novo De Rondônia,0,947,1355,0,2302,2302
2023,1100809,Rondônia,Candeias Do Jamari,0,2705,3104,0,5809,5809
2023,1100908,Rondônia,Castanheiras,0,164,486,0,650,650
2023,1100056,Rondônia,Cerejeiras,0,1793,1698,201,3491,3692
2023,1100924,Rondônia,Chupinguaia,0,1228,1352,0,2580,2580
2023,1100064,Rondônia,Colorado Do Oeste,579,1402,1694,72,3675,3747
2023,1100072,Rondônia,Corumbiara,0,751,832,0,1583,1583
2023,1100080,Rondônia,Costa Marques,0,1252,2160,18,3412,3430
2023,1100940,Rondônia,Cujubim,0,1024,2776,102,3800,3902
2023,1100098,Rondônia,Espigão D'Oeste,0,3409,2863,329,6272,6601
2023,1101005,Rondônia,Governador Jorge Teixeira,0,635,1066,0,1701,1701
2023,1100106,Rondônia,Guajará-Mirim,414,6666,3257,712,10337,11049
2023,1101104,Rondônia,Itapuã Do Oeste,0,1244,1320,0,2564,2564
2023,1100114,Rondônia,Jaru,398,5100,5029,1291,10527,11818
2023,1100122,Rondônia,Ji-Paraná,592,16479,7667,4246,24738,28984
2023,1100130,Rondônia,Machadinho D'Oeste,0,4173,3395,327,7568,7895
2023,1101203,Rondônia,Ministro Andreazza,0,459,1042,0,1501,1501
2023,1101302,Rondônia,Mirante Da Serra,0,1058,1050,304,2108,2412
2023,1101401,Rondônia,Monte Negro,0,1148,1751,0,2899,2899
2023,1100148,Rondônia,Nova Brasilândia D'Oeste,0,1348,2287,0,3635,3635
2023,1100338,Rondônia,Nova Mamoré,0,3054,3399,283,6453,6736
2023,1101435,Rondônia,Nova União,0,387,815,0,1202,1202
2023,1100502,Rondônia,Novo Horizonte Do Oeste,0,895,764,220,1659,1879
2023,1100155,Rondônia,Ouro Preto Do Oeste,0,3647,3607,476,7254,7730
2023,1101450,Rondônia,Parecis,0,207,585,0,792,792
2023,1100189,Rondônia,Pimenta Bueno,0,4693,4311,196,9004,9200
2023,1101468,Rondônia,Pimenteiras Do Oeste,0,278,278,0,556,556
2023,1100205,Rondônia,Porto Velho,1420,56430,42551,22996,100401,123397
2023,1100254,Rondônia,Presidente Médici,0,2333,1579,37,3912,3949
2023,1101476,Rondônia,Primavera De Rondônia,0,369,381,0,750,750
2023,1100262,Rondônia,Rio Crespo,0,319,493,0,812,812
2023,1100288,Rondônia,Rolim De Moura,0,5994,5418,470,11412,11882
2023,1100296,Rondônia,Santa Luzia D'Oeste,0,504,905,0,1409,1409
2023,1101484,Rondônia,São Felipe D'Oeste,0,574,494,0,1068,1068
2023,1101492,Rondônia,São Francisco Do Guaporé,0,1538,2368,109,3906,4015
2023,1100320,Rondônia,São Miguel Do Guaporé,130,1803,2877,193,4810,5003
2023,1101500,Rondônia,Seringueiras,0,1331,1085,20,2416,2436
2023,1101559,Rondônia,Teixeirópolis,0,319,597,0,916,916
2023,1101609,Rondônia,Theobroma,0,591,1115,0,1706,1706
2023,1101708,Rondônia,Urupá,0,670,1635,0,2305,2305
2023,1101757,Rondônia,Vale Do Anari,0,738,987,0,1725,1725
2023,1101807,Rondônia,Vale Do Paraíso,0,448,850,99,1298,1397
2023,1100304,Rondônia,Vilhena,603,9072,10581,2316,20256,22572
2023,1200013,Acre,Acrelândia,0,1911,2092,0,4003,4003
2023,1200054,Acre,Assis Brasil,0,2249,1361,0,3610,3610
2023,1200104,Acre,Brasiléia,0,3400,3284,49,6684,6733
2023,1200138,Acre,Bujari,0,2338,1623,0,3961,3961
